country,year,S_proxy,N_proxy,R_proxy,Crisis,_N_stability,N_noise,_S,_N_raw,_N,_R,E
FRA,2017,1.30890679359436,0.265701532363892,80.5025,0.0483858624676665,0.5386593219455953,0.4613406780544047,0.7974839107017877,0.4690650625820824,0.4690650625820824,0.7844638548310804,1.3337111472577756
FRA,2018,1.41971850395203,0.013894104398787,82.0432,0.0074592458422494,0.4346497118934341,0.565350288106566,0.880095208689422,0.6007078790958813,0.6007078790958813,0.7950661085471059,1.1648488343066408
FRA,2019,1.33822000026703,0.271341234445572,83.3397,0.044587253855854,0.5819210912375308,0.4180789087624692,0.8372187740494416,0.42094796529972167,0.42094796529972167,0.7805531447197012,1.5
FRA,2020,1.2042510509491,0.280992835760117,84.7064,0.0761750573637493,0.5817924151373285,0.4182075848626715,0.7949961356338547,0.42760252451445063,0.42760252451445063,0.7262544890181828,1.350248137360291
FRA,2021,1.22854030132294,0.325612366199493,86.0955,0.0178834294808035,0.6144553925848373,0.3855446074151627,0.8466973280564997,0.38319269464303884,0.38319269464303884,0.5353457269491374,1.182892583629617
FRA,2022,1.16521215438843,0.393339216709137,85.3333,0.161118374184868,0.6659425377717039,0.33405746222829613,0.809106829958556,0.3448432546125304,0.3448432546125304,0.6230497504911533,1.4618636200171409
FRA,2023,1.14462625980377,0.343697965145111,86.8364,0.143917863254219,0.6745647633681546,0.32543523663184537,0.7919677557136233,0.3444682052103624,0.3444682052103624,0.4131783107465703,0.9499393398925622
FRA,2024,,,88.6538,4.752885426799747e-05,0.5,0.5,0.5,0.5,0.5,0.37706120282010896,0.37706120282010896
GBR,1996,1.88219606876373,0.981364369392395,4.12,0.0425891181988744,0.8519655830290588,0.14803441697094122,1.0,0.14150782024113773,0.14150782024113773,0.36945631194292056,1.5
GBR,1997,,,7.39,0.010057156755441,0.5,0.5,0.5,0.5,0.5,0.3926089878885698,0.3926089878885698
GBR,1998,1.86216461658478,0.930068552494049,13.7,0.008971918134222,0.8680710401571136,0.13192895984288644,0.997009782351657,0.13296465135616575,0.13296465135616575,0.44761149391100313,1.5
GBR,1999,,,21.3,0.0123524599742899,0.5,0.5,0.5,0.5,0.5,0.5505558461507903,0.5505558461507903
GBR,2000,1.76882231235504,1.03310573101044,26.8218,0.0408521878947955,0.8683161509954409,0.1316838490045591,0.9750051096818911,0.13018061512847742,0.13018061512847742,0.5381262406154191,1.5
GBR,2001,,,33.4811,0.0233825198637909,0.5,0.5,0.5,0.5,0.5,0.5841694688479829,0.5841694688479829
GBR,2002,1.77972555160522,0.672591328620911,56.48,0.0239798770262725,0.7531191321738094,0.24688086782619056,0.9825275780455354,0.2589567947666123,0.2589567947666123,0.9353279131184861,1.5
GBR,2003,1.74633467197418,0.27125072479248,64.82,0.0311749807289934,0.6767575139033543,0.32324248609664574,0.9557214396559686,0.3324143596748508,0.3324143596748508,1.0,1.5
GBR,2004,1.86802077293396,0.140847533941269,65.61,0.0304801216597889,0.6460513162554923,0.3539486837445077,0.9687023281975986,0.3564315992361795,0.3564315992361795,0.997170656667691,1.5
GBR,2005,1.76157212257385,0.124187760055065,70.0,0.0044568245125349,0.6007226374446036,0.39927736255539636,0.9745738046306447,0.40112209286037714,0.40112209286037714,0.9886047572484172,1.5
GBR,2006,1.6667982339859,0.667080104351044,68.82,0.0227830832196455,0.7988997365345202,0.20110026346547982,0.9440698135460488,0.19476030872834907,0.19476030872834907,0.9483999170447854,1.5
GBR,2007,1.64163875579834,0.574654936790466,75.09,0.0193280753866635,0.7833704764590543,0.21662952354094567,0.9332781123478348,0.22437329291872163,0.22437329291872163,0.9995428690245309,1.5
GBR,2008,1.63480663299561,0.492879867553711,78.39,0.076070428171269,0.7371746172937361,0.2628253827062639,0.9275522935684515,0.26705344449878526,0.26705344449878526,1.0,1.5
GBR,2009,1.50809645652771,0.121949501335621,83.56,0.001913413219945,0.5784503096741982,0.4215496903258018,0.8954503790699775,0.4306212410618463,0.4306212410618463,1.0,1.5
GBR,2010,1.6179975271225,0.411818206310272,85.0,0.0246327362335329,0.7503656100016971,0.2496343899983029,0.9272705088689304,0.25633426206433435,0.25633426206433435,1.0,1.5
GBR,2011,1.60419464111328,0.351707607507706,85.38,0.0928056223414095,0.6876579819221943,0.3123420180778057,0.9409006389663161,0.3178449555315874,0.3178449555315874,1.0,1.5
GBR,2012,1.59121036529541,0.40227073431015,87.48,0.028661739827263,0.6886622879715313,0.3113377120284687,0.9568196709144291,0.31998860008673696,0.31998860008673696,1.0,1.5
GBR,2013,1.51226651668549,0.48620143532753,89.8441,0.0145833333333335,0.721113617061425,0.27888638293857504,0.9060513847238966,0.2941643317556214,0.2941643317556214,1.0,1.5
GBR,2014,1.62349116802216,0.415347635746002,91.6133,0.0274439918533605,0.6700130651410722,0.3299869348589278,0.9226726338519298,0.32039739964298475,0.32039739964298475,1.0,1.5
GBR,2015,1.70522773265839,0.503706395626068,92.0003,0.0815976578837315,0.6986354031689671,0.3013645968310329,0.98241499355622,0.2867484103901725,0.2867484103901725,1.0,1.5
GBR,2016,1.57377743721008,0.347932636737823,94.7758,0.0495791315942985,0.6256537771779719,0.3743462228220281,0.9076631323548349,0.359105557455166,0.359105557455166,1.0,1.5
GBR,2017,1.4309287071228,0.380680292844772,90.4246,0.0278877887788764,0.6026699569125903,0.3973300430874097,0.8599949639481795,0.4037789732150817,0.4037789732150817,0.9678322231453382,1.5
GBR,2018,1.36169874668121,0.0770855620503426,90.692,0.0146419951729684,0.47083965913209846,0.5291603408679015,0.8502522985248205,0.5616038034849847,0.5616038034849847,0.9650770664381979,1.4610994243642217
